strategy,underlying,vehicle,fast_period,fast_mult,mid_period,mid_mult,slow_period,slow_mult,exit_mode,trail_target,time_stop_bars,adx_min,full_trades,full_wr_pct,full_pf,full_ret_pct,full_sharpe,full_max_dd,is_pf,is_ret_pct,oos_trades,oos_wr_pct,oos_pf,oos_ret_pct,oos_sharpe,oos_max_dd,vol_surge_mult,min_body_ratio,opening_lockout_min,tranche_a_r,stagnation_bars
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,none,25,264,28.4,1.0,-0.23,-0.02,12.53,0.99,-0.29,77,37.7,1.0,0.06,0.01,5.8,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,18,25,264,32.2,0.9,-9.43,-0.62,23.93,0.81,-10.73,77,41.6,1.04,1.3,0.13,9.65,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,18,25,264,28.8,0.9,-4.63,-0.55,13.5,0.85,-4.51,77,37.7,0.99,-0.12,-0.02,5.29,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,30,25,264,32.2,0.94,-5.41,-0.33,23.01,0.86,-8.15,77,41.6,1.08,2.74,0.24,10.23,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,30,25,264,28.8,0.95,-2.58,-0.27,13.5,0.88,-3.48,77,37.7,1.05,0.89,0.13,5.8,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,one_red,mid,48,25,264,31.8,1.0,0.4,0.02,20.62,0.94,-3.3,77,41.6,1.11,3.7,0.31,10.23,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,one_red,mid,48,25,264,28.4,1.03,1.63,0.15,11.98,1.01,0.29,77,37.7,1.08,1.34,0.19,5.8,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,none,none,684,40.5,1.07,13.21,0.39,9.14,1.11,12.44,189,42.3,1.01,0.77,0.06,10.18,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,none,none,684,36.7,1.08,7.4,0.41,6.59,1.13,7.56,189,39.7,1.0,-0.16,-0.03,5.78,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,18,none,684,40.5,1.08,15.0,0.44,8.8,1.12,14.17,189,42.3,1.01,0.83,0.06,9.95,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,18,none,684,36.7,1.1,9.52,0.51,5.9,1.16,9.13,189,39.7,1.01,0.39,0.06,5.41,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,30,none,684,40.5,1.08,14.03,0.42,8.93,1.11,12.44,189,42.3,1.02,1.59,0.12,9.68,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,30,none,684,36.7,1.09,8.05,0.44,6.59,1.13,7.56,189,39.7,1.01,0.48,0.08,5.21,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,48,none,684,40.5,1.07,13.21,0.39,9.14,1.11,12.44,189,42.3,1.01,0.77,0.06,10.18,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,48,none,684,36.7,1.08,7.4,0.41,6.59,1.13,7.56,189,39.7,1.0,-0.16,-0.03,5.78,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,none,15,641,39.8,1.06,10.48,0.33,9.98,1.09,9.72,179,41.9,1.01,0.76,0.06,10.86,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,none,15,641,35.9,1.08,6.67,0.38,6.68,1.12,6.61,179,39.1,1.0,0.06,0.01,5.99,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,18,15,641,39.8,1.07,12.23,0.38,9.64,1.11,11.4,179,41.9,1.01,0.82,0.06,10.63,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,18,15,641,35.9,1.1,8.73,0.49,5.99,1.15,8.12,179,39.1,1.02,0.61,0.1,5.62,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,30,15,641,39.8,1.07,11.3,0.35,9.51,1.09,9.72,179,41.9,1.02,1.57,0.12,10.16,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,30,15,641,35.9,1.08,7.32,0.42,6.68,1.12,6.61,179,39.1,1.02,0.7,0.11,5.42,,,,,
sterling_kite_engine,NIFTY 50,delta1,14,0.75,14,2.0,7,3.0,two_red,fast,48,15,641,39.8,1.06,10.48,0.33,9.98,1.09,9.72,179,41.9,1.01,0.76,0.06,10.86,,,,,
sterling_kite_engine,NIFTY 50,options_atm,14,0.75,14,2.0,7,3.0,two_red,fast,48,15,641,35.9,1.08,6.67,0.38,6.68,1.12,6.61,179,39.1,1.0,0.06,0.01,5.99,,,,,
